V1,V2,Ben Simmon,,
Dekorey Hobbs,"Tallahassee, FL",Florida,,
Tyree Haney,"Baton Rouge, LA",California,,
Cary Christopherson,"Campbell, CA",California,,
Blake Stepanovich,"Munster, IN",Indiana,,
Jacob Scott Britt,"Jayess, MS",Mississippi,,
Miles Doncaster,"Oakham, England",Arkansas,,
Ricky ''Reports'' Sayer,"Bryn Mawr, PA",Pennsylvania,,
Khanh Tran,New York,New York,,
Grayson Maas,"San Diego, CA",California,,
SupremeNappyBoi,"Anchorage, AK",Alaska,,
ffss,"Philadelphia, PA",Pennsylvania,,
Jensen,Philadelphia,New York,,
Daniyyah Carstarphen,"Chicago, IL",Illinois,,
noah,"Brockton, MA",Massachusetts,,
mikep,"Philadelphia, PA",Pennsylvania,,
Montanna,"Pontiac, IL",Illinois,,
Khesi,"San Diego, California",Pennsylvania,,
"s  m""","Sacramento, California",Pennsylvania,,
Leslie pena,"San Antonio, TX",Texas,,
Travis Hude,"Waconia, MN",Minnesota,,
Josh Ginsberg,"Mount Laurel, NJ",New jersey,,
Jade,"Sweetwater, TX",Texas,,
britnieroberon,"Dubuque, IA",Iowa,,
god,"Manhattan, NY",New†York,,
chris butler,"Bartonville, IL",Illinois,,
jayla,"Philadelphia, PA",Pennsylvania,,
Renee,"Austin, TX",Texas,,
"Kyara¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Mobile"," AL""",Alabama,,
\_()_/,"San Antonio, TX",Texas,,
"Amir¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 B&","Detroit, MI",Michigan,,
deonte,"Hayward, CA",California,,
StephanieRehrig,"Somerdale, NJ",New jersey,,
Ty'Asia Partinger,"Franklin, KY",Kentucky,,
Reese Kosterman,"Racine, WI",Wisconsin,,
lawrence strickland,"Idaho Falls, ID",Idaho,,
Mahd Arshad,"Chicago, IL",Illinois,,
John Durkin,"Philadelphia, PA",Pennsylvania,,
Farah,"Toronto, Ontario",New York,,
Aidan De Fabio,"Cherry Hill Mall, NJ",New jersey,,
Michael Gregorovic,"Lindenwold, NJ",New jersey,,
Carolyn Conaway,"Mayfair, Philadelphia",New York,,
"Emiley ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π
 B&","Cinnaminson, NJ",New jersey,,
Janevecchione@comcast.net,"Blue Bell, PA",Pennsylvania,,
Stephen Ricci,"Columbus, Ohio",Illinois,,
Bruce Boehm,"South Brunswick, NJ",New jersey,,
SU LaCumba Spinners,"Baton Rouge, Louisiana ",Missouri,,
Jamie Rhoden,Fleming Island,Florida,,
jaydn.cruz,"Lubbock, TX",Texas,,
Allen Hunsicker,Allentown,New Jersey,,
CountryBoyyeee,Maryland,New York,,
Alvin Thomas,"Newark, DE",Delaware,,
maci greene,"Papillion, NE",Nebraska,,
Owen,"Leduc, Alberta",Virginia,,
Saha M.,"Phoenix, AZ",Arizona,,
NASIR,"Brooklyn, NY",New†York,,
Mohammad Khan,"Chicago, IL",Illinois,,
SID Da Science KID,"Cleveland, OH",Ohio,,
The Metropolitan Drapery,"Philadelphia, PA",Pennsylvania,,
Paige Del Buono,"Bensalem, PA",Pennsylvania,,
Daniel Smith,"Camden, NJ",New jersey,,
Jess,"Jerome, ID",Idaho,,
Jonkret1,"Woodbury, NJ",New jersey,,
Jason A,Melbourne,Florida,,
andrew,"Nashville, TN",Tennessee,,
Lauren Robinson,"Selma, NC",North†Carolina,,
Paul Mach,Canada,Kentucky,,
James Kelly,"Lakeside, VA",Virginia,,
Jonah Lear,"Geelong, Victoria",Virginia,,
Ben,Milwaukee,Wisconsin,,
Mo¬©®π¶¬©‚®π¶Õo,"Flint, MI ",Michigan,,
Chase,"Alexandria, VA",Virginia,,
Alfonso Pugs,"El Paso, TX",Texas,,
caty,"Melbourne, Victoria",Virginia,,
1 609-470-6688,"Hammonton, NJ",New jersey,,
RDActon,"Evanston, IL",Illinois,,
madi,"Coatesville, PA",Pennsylvania,,
Cedric Alexander Jr,"Los Angeles, CA",California,,
Roto Ricky,"Philadelphia, PA",Pennsylvania,,
" @&""","Philadelphia, PA",Pennsylvania,,
Liam Katz,"Hazleton, PA",Pennsylvania,,
Antwan Adams,"Warren, OH",Ohio,,
Geoffrey,"Gunnison, CO",Colorado,,
Justin,"Moorpark, CA",California,,
JacobGtx,"Los Angeles, CA",California,,
ben2k,"Nova Scotia, Canada",Kentucky,,
Eser Saydam,"Harleysville, PA",Pennsylvania,,
Kuba Kwiatkowski,"Warsaw, Poland",Maine,,
G,"Philladelphia, PA",Pennsylvania,,
Joseph J Smith,"Radnor Township, PA",Pennsylvania,,
will,"Corvallis, OR",Oregon,,
Aladdin Hospitality,"Lumberton, NJ & Hanover, MA",Massachusetts,,
Nick Erni,"Kennett Square, PA",Pennsylvania,,
Joker,"Gotham, England",Arkansas,,
frankieluciano,"Marlton, NJ",New jersey,,
paul,"Norfolk, VA",Virginia,,
Marbeats,"Cleveland, OH",Ohio,,
Jerryd Bayless,"Philadelphia, PA",Pennsylvania,,
Slimmothernikki,"West Chester, PA",Pennsylvania,,
Dana Moyer,"Conshohocken, PA",Pennsylvania,,
Jason Bleacher,"Lancaster, PA",Pennsylvania,,
Igor,"Wheaton, IL",Illinois,,
Vijay,"Horsham, PA",Pennsylvania,,
Philly Steaks Albuquerque,"Albuquerque, NM",New mexico,,
Keith Havrilesko,"Masontown, PA",Pennsylvania,,
Freddy Martinez,"Cicero, IL",Illinois,,
Rod Ratajczak,"Green Bay, WI",Wisconsin,,
Tyler Kish,"Emmaus, PA",Pennsylvania,,
Hanxi Wang,"Oxford, England",Arkansas,,
david,"Absecon, NJ",New jersey,,
Zach Slotter,"Quakertown, PA",Pennsylvania,,
Emre Ycel,"Istanbul, Turkey",North Carolina,,
Will,"Bendigo, Victoria",Virginia,,
Jo Jalloh,Paris,Maine,,
Stank,"Tampa, FL",Florida,,
Andrew,"Mobile, AL",Alabama,,
Brax,"Bainbridge, GA",Georgia,,
RD,"Los Angeles, CA",California,,
DigiXstream U.S,"Philadelphia, PA",Pennsylvania,,
Vivi U&,Los Angeles,California,,
chen®πliangshen,"Markham, Ontario",New York,,
Gabriel Gutierrez,"Vancouver, WA",Washington,,
BeaverTailBill,AZ,Arizona,,
james,"Ogontz, Philadelphia",New York,,
DevinHoover2,"Astoria, OR",Oregon,,
Richie D,"Mooresville, NC",North†Carolina,,
Nicolas Pinheiro,"Farmington Hills, MI",Michigan,,
Tomas,"Oskaloosa, IA",Iowa,,
6 Tool Sports South,"Atlanta, GA",Georgia,,
Luke Plesec,"Findlay, OH",Ohio,,
Sean Feehan,"Omaha, NE",Nebraska,,
jaci,"Dayton, OH",Ohio,,
"day. ¬©®π¶¬©‚®π¶¨""Diamond Bar"," CA""",California,,
Demetrius Campbell,"Tulsa, OK",Oklahoma,,
Shaun Wilson,"Philadelphia, PA",Pennsylvania,,
World B. Flat,"NZ, Wellington",Florida,,
Miriam Lugo,"Allentown, PA",Pennsylvania,,
Matt Muscella,"Media, PA",Pennsylvania,,
David Bell,"Medford, NJ",New jersey,,
Michael Proctor,"New Carrollton, MD",Maryland,,
Phil,"Oceanside, CA",California,,
Jason Eric Paulino-Nop,"Philadelphia, PA",Pennsylvania,,
David Cant,Sydney ,Florida,,
Daniella,"Philadelphia, PA",Pennsylvania,,
Joey ¬©®π¶¬©‚®π¶◊',"Philadelphia, PA",Pennsylvania,,
Keith J. Davis,"Burlington, IA",Iowa,,
zykyee thompson,"Philadelphia, PA",Pennsylvania,,
Kooper East,"Ogden, UT",Texas,,
ThoseGuys,"Philadelphia, PA",Pennsylvania,,
Isaac Saucedo,"Madera, CA",California,,
"Y N I C ¬©®π¶¬©‚®π¶¨""Birmingham"," AL""",Alabama,,
Connor Michels,"College Station, TX",Texas,,
Luke Thomas,"Flatwoods, KY",Kentucky,,
Chris King,"Willow Grove, PA",Pennsylvania,,
Michaela Jean (',"Lancaster, PA",Pennsylvania,,
@Benjimir_,"Philadelphia, PA",Pennsylvania,,
Mikhaell Resende,"Sao Paulo, Brazil",Indiana,,
Jairo Montelongo,"Oklahoma City, OK",Oklahoma,,
Steven Willy,"St Petersburg, FL",Florida,,
Jeremy Russell,"Ashley, PA",Pennsylvania,,
Josh,"Oakland, CA",California,,
A.J. Reed,"Tulsa, OK",Oklahoma,,
tania santiago,"Cleveland, OH",Ohio,,
Killa,"Philadelphia, PA",Pennsylvania,,
Stover,"Broomfield, CO",Colorado,,
Joseph Roberts,Philadelphia,New York,,
Justin Edwards,"Ojai, CA",California,,
Bailey Neville,"Matraville, Sydney",Florida,,
Cranjis McBasketballs,"Denver, CO",Colorado,,
Vincent Robertson,"Lincoln, NE",Nebraska,,
Juandre Bekker,"London, England",Arkansas,,
Jeremy Campbell,"Denver, PA",Pennsylvania,,
Jimmy Bossong,"Downingtown, PA",Pennsylvania,,
Ethan Brinkmeyer,"Clive, IA",Iowa,,
Tyler Rishel,"Levittown, PA",Pennsylvania,,
Mary Beth Snell,"Portland, OR",Oregon,,
lil kait,"Bustleton, Philadelphia",New York,,
noninverted,"Covington, KY",Kentucky,,
XxrageTheBeast,"Myrtle Beach, SC",South carolina,,
Heather Yoder,"Narvon, PA",Pennsylvania,,
Najee Ponds,"Chester, PA",Pennsylvania,,
david peltzman,Cherry Hill,New Jersey,,
Sonny Tran,"Philadelphia, PA",Pennsylvania,,
Celina Baguiao,"Portland, OR",Oregon,,
kode,"Reading, PA",Pennsylvania,,
"Tray¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""East St Louis"," IL""",Illinois,,
Stuart Wall,London,West Virginia,,
Geoffrey Gerlach,"Irvine, CA",California,,
nickleby,"Milwaukee, WI",Wisconsin,,
Thomas Charuvila,"Dallas, TX",Texas,,
Benedy C. Morcilla,"Queens, NY",New†York,,
"Colton ¬©®π¶¬©‚®π¶¨""Omaha"," NE""",Nebraska,,
"¬©®π¶¬©‚®π¶¨""Toronto"," Ontario""",New York,,
Teddy Merritt,"McLean, VA",Virginia,,
Dion Flores,"East Lansing, MI",Michigan,,
darrian,"Austintown, OH",Ohio,,
"blaine¬©®π¶¬©‚®π¶¨""Fairmont"," WV""",West Virginia,,
Shane Madison,"Charlottesville, VA",Virginia,,
Wyatt Stonesifer,"Dillsburg, PA",Pennsylvania,,
Michael Rojo,"Williamson, NY",New†York,,
oriyao,China,Texas,,
Philly Phil,"Philadelphia, PA",Pennsylvania,,
John Leadbeater,"Wenonah, NJ",New jersey,,
party_Pat,"Philadelphia, PA",Pennsylvania,,
Tom Higgins,"Philadelphia, PA",Pennsylvania,,
Dan Dailey Deerfield,"Deerfield Beach, FL",Florida,,
Matt Potratz,"Boston, MA",Massachusetts,,
Soul,Earth,Texas,,
Sammy Soprano,"Cleveland, Ohio",Illinois,,
Joo Joo,"Porto Alegre, Brazil",Indiana,,
Brady Kobitowich,"St. Albert, Alberta",Virginia,,
abill,Earth,Texas,,
Dave Dzi,Long Island ,Maine,,
Blake McClung,Knoxville,Pennsylvania,,
miles tyrer,"Olathe, KS",Kansas,,
Dustin Monke,"Dickinson, ND",North Dakota,,
Dub,Mars,Pennsylvania,,
Dom Avellino,"Marlton, NJ",New jersey,,
Kenneth Gantman,"Short Hills, NJ",New jersey,,
Taylor R,Philadelphia ,New York,,
El_Hefe'_Ramon, New York,New York,,
koray obasaranlar,Turkey,North Carolina,,
Kevin Smith,"Boca Raton, FL",Florida,,
"	TIQ[ *QHY","Pakenham, Victoria",Virginia,,
Gelo,Gotham,Wisconsin,,
Adam VanGesen,"Dansville, NY",New†York,,
Chad Hardy,"Carrollton, GA",Georgia,,
John Tackach,"Middlesex, NJ",New jersey,,
Julia,California,Pennsylvania,,
Blake McCan,"Mishawaka, IN",Indiana,,
Todd Charney,"Robbinsville, NJ",New jersey,,
Keta Okunrin,Jersey,Virginia,,
Schmul Rosenzweig,"Auschwitz, Poland",Maine,,
Kai Wagoner-Oshima,"Brooklyn, NY",New†York,,
Pauly D11,Paradise,Pennsylvania,,
American DeeP State Movie,"Hollywood, CA",California,,
Savannah,"Orlando, FL",Florida,,
BABYLON,"Downtown, Portland",Maine,,
Kareem Hassan,"portsaid,Egypt",Arkansas,,
Daniel Brinton,"McMinnville, OR",Oregon,,
Tim Smith,"Burlington, NJ",New jersey,,
"Norwood¬©®π¶¬©‚®π¶¨""Sacramento"," CA""",California,,
Nenaa Marie ¬©®π¶¬©‚®π¶®',"Atlanta, GA",Georgia,,
Soham Shah,"San Francisco, CA",California,,
Ernesto,"Morrisville, PA",Pennsylvania,,
Justinas Thompson,"Seattle, Washington",New Hampshire,,
Dillon Semma,Michigan,North Dakota,,
Georgie Espinoza,"Poteet, TX",Texas,,
Ross,"Philadelphia, PA",Pennsylvania,,
Trent Cox,"Independence, LA",California,,
"IC C  5 MIW C XKaden¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Chicago"," IL""",Illinois,,
Spencer,"Truckee,CA / Orange County,CA",California,,
Eugene,"Greensboro, NC/Chapel Hill, NC",North†Carolina,,
Shane Shelton,"San Antonio, TX",Texas,,
"Chris¬©®π¶¬©‚®π¶¨""Stamford Bridge"," England""",Arkansas,,
On The Bench,"Philadelphia, PA",Pennsylvania,,
Antony,"Queens, NY",New†York,,
Brian Smith,"Philadelphia, PA",Pennsylvania,,
Lefteris Banos,"Haddonfield, NJ",New jersey,,
geo,"Melbourne, Victoria",Virginia,,
Danielle,"Bensalem, PA",Pennsylvania,,
"¬©®π¶¬©‚®π da_keesha.¬©®π¶¬©‚®π¶¨""Natchitoches"," LA""",California,,
" A¬©®π¶¬©‚®π¶¨""Norristown"," PA""",Pennsylvania,,
carmen,PA,Pennsylvania,,
garrison,"Forney, TX",Texas,,
ryan redwood,"Las Vegas, NV",Nevada,,
Mac,Kansas City,Missouri,,
lil fish chrxnicles,"Boston, MA",Massachusetts,,
fernando fr,"Edmonton, Alberta",Virginia,,
Finn Balor Is The G.O.A.T,"Los Angeles, CA",California,,
Sarang Ahuja,"Baltimore, MD",Maryland,,
VIP Enterprises,AZ,Arizona,,
Tiny Rick,Earth,Texas,,
James Choy,Las Vegas,New Mexico,,
LeeSandra,"Mercedes, TX",Texas,,
Colin Cappernick,"Chester, PA",Pennsylvania,,
TeamSuperOR,"Portland, OR",Oregon,,
Mike Smith,"New Jersey, Indiana ",Pennsylvania,,
Scott Cliffe,"Granville, Sydney",Florida,,
demons,Chicago,Illinois,,
StephenThomasUhlarik,"Dillon, TX",Texas,,
Justin,"Port St Lucie, FL",Florida,,
Joe Lock,"Springfield, MO",Missouri,,
Joe Champagne,"Anderson, IN",Indiana,,
Will.i.am,New York,New York,,
HawK,"Melbourne, Victoria",Virginia,,
"JL3¬©®π¶¬©‚®π¶¨""Benicia"," CA""",California,,
ColeOnSports,"New York, NY",New†York,,
colin,"Bolingbrook, IL",Illinois,,
Rob Cooper,PA,Pennsylvania,,
Chris Bradfield,"West Berlin, NJ",New jersey,,
Chiki,Peru,Maine,,
Damon Palmar,"Melbourne, Victoria",Virginia,,
ScatPackChris,"Detroit, MI",Michigan,,
Masten,"Dayton, Ohio",Illinois,,
eddiedteezy,"Oklahoma City, OK",Oklahoma,,
Manu,Madrid,New York,,
Raymond Roeder,"Blandon, PA",Pennsylvania,,
Joseph Bradbury,"Lancaster, PA",Pennsylvania,,
TJ,"London, England",Arkansas,,
Ray Image,"Cincinnati, OH",Ohio,,
(18-18) Goatstaps Porzingod,"Miami Beach, FL",Florida,,
Kevin Bush,"Philadelphia, PA",Pennsylvania,,
Isco Ê∫,"Miami, FL",Florida,,
levon demirtshyan,"Los Angeles, CA",California,,
Let's Talk Hoops,"Winnetka, Los Angeles",California,,
Heath Morrison,Compton,Maryland,,
Susan Allard,"North Windham, ME",Maine,,
Kripzy,"Melbourne, Victoria",Virginia,,
Anthony fletcher,"Champaign, IL",Illinois,,
Tevin',"Houston, TX",Texas,,
EPG,"Toronto, Ontario",New York,,
"Ryan ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Nashville"," TN""",Tennessee,,
Jordan Robert Pearce,Sydney,Florida,,
Kole,Canada,Kentucky,,
Epimides,Indiana,Pennsylvania,,
Tate Mascari,"Grind City, TN",Tennessee,,
misteradlouni,"Brooklyn, NY",New†York,,
Stephany Sabillon,"Forster park, OH ",Ohio,,
Sean,"Cheyney, PA",Pennsylvania,,
Kurt,Milan,New Hampshire,,
Remy Lebeau ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¶,"Novi, MI ¬® Grand Rapids, MI",Michigan,,
Dave Silcox,"Beverly Hills, MI",Michigan,,
George Dorrin,"Norristown, PA",Pennsylvania,,
Ashanti Cruz,"Seabrook Farms, NJ",New jersey,,
Tom r,"Lower East Side, Manhattan",Montana,,
Landon Le,"El Reno, OK",Oklahoma,,
Sam Sadler Mills,"Sheffield, England",Arkansas,,
Drew,Philadelphia,New York,,
Elizabeth Holland,"Philadelphia, PA",Pennsylvania,,
Derek Parker,"Stillwater, OK",Oklahoma,,
Timothy Parker,"Philadelphia, PA",Pennsylvania,,
Jaquon Cogshell,"St Paul, MN",Minnesota,,
Brandon Clemons,"Cincinnati, OH",Ohio,,
Matchu,"Melbourne, Victoria",Virginia,,
Florian Shelby,London,West Virginia,,
FernandoMercadoCruz,"Ocala, FL",Florida,,
Vinicius Corra,Brazil,Indiana,,
Triston Scott West,"Lynchburg, OH",Ohio,,
Greenapple,"Cincinnati, OH",Ohio,,
Matthew Golway,"Florence, NJ",New jersey,,
Jiggy,"Reading, PA",Pennsylvania,,
Josh Ruddock,"London, England ",Arkansas,,
Colin Calpin,"Schnecksville, PA",Pennsylvania,,
Wendel Maciel,"Fortaleza, Brazil",Indiana,,
Matty Mc,"Chicago Ridge, IL",Illinois,,
Rebecca Turbeville,"Lexington, SC",South carolina,,
Matt Hayden&,Cedarville,New Jersey,,
"¢˘les¬©®π¶¬©‚®π¶¨""Indianapolis"," IN""",Indiana,,
Lucas Simon,"Greenville, MI",Michigan,,
"mosthatedd.ricki¬©®π¶¬©‚®π¶¨""Plaquemine"," LA""",California,,
Evan,"Kansas City, MO",Missouri,,
t,"Novato, CA",California,,
FlyGuys25,Philadelphia,New York,,
Zeke Turner,"Allegan, MI",Michigan,,
papaxota,Brazil,Indiana,,
Rick Osowski,"Chicago, IL",Illinois,,
Fischer McAsey,"Melbourne, Victoria",Virginia,,
beefJerky24mmm,"Eagle Pass, TX",Texas,,
James Lopez,"Philadelphia, PA",Pennsylvania,,
Marty McFly Williams,"Plano, TX",Texas,,
Nick Nowak,"Holmesburg, Philadelphia",New York,,
Benjamin Dinon,"Allentown, PA",Pennsylvania,,
Brad Golder,"Rochester, MI",Michigan,,
Joe Wilson,"Trenton, NJ",New jersey,,
"VICTORGOLIGHTLY¬©®π¶¬©‚®π¶¨""Toronto"," Ontario""",New York,,
Devin Baker,"Pikeville, KY",Kentucky,,
Octavio Martinez,"Tucson, AZ",Arizona,,
Bali,Boiling Springs,Pennsylvania,,
jraykovitz,Philadelphia,New York,,
"TO ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Dalla$"," TX """,Texas,,
Stan,"New York, NY",New†York,,
Nick Hirschmann,Philadelphia ,New York,,
Michael McCormick,"Whitefish Bay, WI ",Wisconsin,,
ppp,"Perry, LA",California,,
Kubu[ Andrzejczuk,"Chalfont, PA",Pennsylvania,,
Mark,"Melbourne, Victoria",Virginia,,
Filip Cornea,"Melbourne, Victoria",Virginia,,
Harnoor Nanuan,"Brampton, Ontario",New York,,
Lucas L.,Paris,Maine,,
Trav909ny,"Redlands, CA",California,,
Zac Moore,"Poplar Bluff, MO",Missouri,,
Caleb Massarek,"Baton Rouge, LA",California,,
Sean,"Kingsland, GA",Georgia,,
CHARLiE ELLiOTT,"Columbia, SC",South carolina,,
Sy-Wei Ho,"St Louis, MO",Missouri,,
Jasmine,"Reading, PA",Pennsylvania,,
Mark Glooch,"Melbourne, Victoria",Virginia,,
malcolm mundy,"Salt Lake City, UT",Texas,,
Lucas fegely,"Las Vegas, NV",Nevada,,
Marty,Sydney,Florida,,
Matthew Clayton,"Sherburn In Elmet, England",Arkansas,,
Chuck_taylor_as,Sydney,Florida,,
Joe Basketball,Toronto,Ohio,,
"Lake Show!""","Los Angeles, CA",California,,
"Scott Watermasysk ¬©®π¶¬©‚®π¶¨""Warren"," NJ""",New jersey,,
jeff joffrion,"Baton Rouge, LA",California,,
Aidan,"Providence, RI",Rhode island,,
Jack Manley,"Omaha, NE",Nebraska,,
mohammad,"Lafayette, LA",California,,
Harshmelo,New York,New York,,
alyssa abbonizio,Philadelphia,New York,,
Chuck Hiller,"Mountain Top, PA",Pennsylvania,,
Elizabeth,"Columbus, OH",Ohio,,
Smicko,"Portstewart, Ireland",West Virginia,,
mackenzie rotay,"Skippack, PA",Pennsylvania,,
KAM,"Parkside, Baltimore",Maryland,,
SalfordMase,"Manchester, England",Arkansas,,
jack,"San Diego, CA",California,,
Dave Pedron,"State College, PA",Pennsylvania,,
Robert Menz,"Cheektowaga, NY",New†York,,
Jake Mooney,Palmerton,Pennsylvania,,
Massimo Ortolano,"Compton, CA",California,,
Emani,"Philadelphia, PA",Pennsylvania,,
Brian Kelley,"Harleysville, PA",Pennsylvania,,
Vernoedwingowdy,"Bronx, NY",New†York,,
Fernando,"Westminster, CO",Colorado,,
Justin,New York,New York,,
Nucch,Springfield,Massachusetts,,
Drew Muzzey,"Laconia, NH",New hampshire,,
Conor,"New York, New York",New York,,
ryan begnaud,"Austin, TX",Texas,,
Justin Orefice,"North Wales, PA",Pennsylvania,,
Tushar Obhrai,Canada,Kentucky,,
Al.,"Reading, PA",Pennsylvania,,
UpBidders,"Philadelphia, PA",Pennsylvania,,
Chandler DeWees,"Ravenswood, WV",West Virginia,,
=0¢·teo,"Chicago, IL",Illinois,,
z-#RaiseYourBortles 10-6,"#Sacksonville, FL",Florida,,
Joey B,"Cape May, NJ",New jersey,,
Mikey Macaluso,"Philadelphia, PA",Pennsylvania,,
Bill Kenny,"Philadelphia, PA",Pennsylvania,,
erica,"Richmond, Philadelphia",New York,,
Simon-Olivier Girard,Canada,Kentucky,,
Karina Sundar,"Milwaukee, WI",Wisconsin,,
GJPikunas,"Ventnor Heights, NJ",New jersey,,
Alec Hageman,"Edwardsville, IL",Illinois,,
Haaris Ali,"Fargo, ND",North Dakota,,
Rogue Trader,New York,New York,,
Cdric Irfan Tay,"Philadelphia, PA",Pennsylvania,,
White J Capital,"Brooklyn, NY",New†York,,
Chris Collins,Delaware,New Jersey,,
Kris Lloyd,"Round Rock, TX",Texas,,
DON'T YOU DARE,Manila,Arkansas,,
Did Ben Simmons Shoot A 3,"Philadelphia, PA",Pennsylvania,,
young god,"Detroit, MI",Michigan,,
Acriano,"Acre, Brazil",Indiana,,
Tre Allen,Virginia,Minnesota,,
Sad Bull (12-22),"Chicago, IL",Illinois,,
Philadelphia AMP,"Philadelphia, PA",Pennsylvania,,
Brianne Bishop,Philadelphia,New York,,
ahmed soliman,"West Lafayette, IN",Indiana,,
Ryan Koletty,"Philadelphia, PA",Pennsylvania,,
Dave Bowen,"San Jose, CA",California,,
C.J. Curry,"Philly, PA",Pennsylvania,,
joe,"Minneapolis, MN",Minnesota,,
GregArias,"Granada Hills, Los Angeles",California,,
Huddy Two Gloves,"West Palm Beach, FL",Florida,,
Gretchen G,State College,Pennsylvania,,
-,"Nova Scotia, Canada",Kentucky,,
kevin soper,"Long Beach, NY",New†York,,
Henry,"Helsinki, Finland",Minnesota,,
Ethan Eberly,"Coatesville, PA",Pennsylvania,,
1 478-353-6542,"East Dublin, GA",Georgia,,
Mendii,"Cleveland, OH",Ohio,,
romie17,"Philadelphia, PA",Pennsylvania,,
Hashcroft,"Norwich, England",Arkansas,,
Matt Bradley,"Toronto, Ontario",New York,,
lanky_mile_high,"Harrisburg, PA",Pennsylvania,,
Phionn,Ireland,West Virginia,,
SamoanSailor,"Campbell, CA",California,,
Milli88 Beats,"Albuquerque, NM",New mexico,,
Cassandra Pegg,Brisbane,California,,
julio c escobar,"Hollywood, FL",Florida,,
Tatiana,"Philadelphia, PA",Pennsylvania,,
Matheus Oliveira,"Belo Horizonte,Brazil",Indiana,,
Rubn Hernndez,"Orcasitas, Madrid",New York,,
Austin Howard,"Peoria, AZ",Arizona,,
Matteo Tagliatti,"Dorno, Italy",Texas,,
Eric Giddings,"Reading, England",Arkansas,,
Steve Chambers,Virginia,Minnesota,,
Tyler Dinetz,"Mount Laurel, NJ",New jersey,,
Mike,"Kannapolis, NC",North†Carolina,,
Shayne McMenemy,Sydney,Florida,,
paul sharrah,"Drexel Hill, PA",Pennsylvania,,
Derek Schmitz,"Long Beach, CA",California,,
Havi,"Alcal de Henares, Madrid",New York,,
49ers 6-10,"Wilsonville, OR",Oregon,,
Karen Gonzalez,"Camden, NJ",New jersey,,
Tony Montana,"Tinley Park, IL",Illinois,,
Pierre Moretti,Toulon,Illinois,,
Torian Taylor,"Memphis, TN",Tennessee,,
JV Miller,Las Vegas,New Mexico,,
ZAK,Toronto,Ohio,,
Ryan,"Melbourne, Victoria",Virginia,,
luke,Melbourne,Florida,,
"Luke ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Melbourne"," Victoria""",Virginia,,
Ryan Nase,Philadelphia,New York,,
Rhett Eisenberg,"St Joseph, MO",Missouri,,
Raynell Cupid,"Brooklyn, NY",New†York,,
Brunis,"Brussels, Belgium",Wisconsin,,
Jos Carlos Costa,"Luanda, Angola",New York,,
Ivan,"Lawrence, KS",Kansas,,
ZP,"Greenfield, WI",Wisconsin,,
reese,"Orlando, FL",Florida,,
kellydebarge,"Ogden, UT",Texas,,
Is that a fat joke????,"Princeton, NJ",New jersey,,
Will Vegetable,"Melbourne, Victoria",Virginia,,
S,"Nashville, TN",Tennessee,,
Steven Manela,"New Brunswick, NJ",New jersey,,
Kevin Waters,"Philadelphia, PA",Pennsylvania,,
Marcos Gonzalez,"Houston, TX",Texas,,
"¬©®π¶¬©‚®π¶¨""Brownsville"," TX""",Texas,,
Carlo Gorini,Italy,Texas,,
Rodney Davis,"Rosemount, MN",Minnesota,,
Sergio,"Chicago, IL",Illinois,,
Anthony Fire,"Coral Springs, FL",Florida,,
Brandon Delgado,"Temple, TX",Texas,,
kylli,"Ontario, Canada",Kentucky,,
Mr.Beast¬©®π¶¬©‚®π¶¨Fresno,Ohio,,,
Brandonv ,"Toronto, Ontario",New York,,
Forrest Andrews,"Los Osos, CA",California,,
Tom Pang,"City of Jinan, China",Texas,,
Adrian Corona,Mars,Pennsylvania,,
Carson Reinhart,Lake Oswego,Oregon,,
Kevin,"Montreal, Canada",Kentucky,,
Gillich,"Mayfair,Philadelphia",New York,,
James Hardingham,"Melbourne, Victoria",Virginia,,
Gabe,"Burlington, VT",Vermont,,
Vincent Piselli,"Tampa, FL",Florida,,
Daniel Pierce,"Philadelphia, PA",Pennsylvania,,
Dauv (Its French),"Tampa, FL",Florida,,
Geoff Veith,Philadelphia,New York,,
